id,scientificname,species_group,species_type,species_status,count_obs
17421,Gyroweisia tenuis,Mossen en korstmossen,S,Native,14
17424,Hedwigia ciliata,Mossen en korstmossen,S,Native,17
17425,Hedwigia stellata,Mossen en korstmossen,S,Native,6
17427,Hennediella heimii,Mossen en korstmossen,S,Native,2
17428,Herzogiella seligeri,Mossen en korstmossen,S,Native,40
17430,Homalia trichomanoides,Mossen en korstmossen,S,Native,136
17431,Homalothecium lutescens,Mossen en korstmossen,S,Native,82
17432,Homalothecium sericeum,Mossen en korstmossen,S,Native,342
17433,Homomallium incurvatum,Mossen en korstmossen,S,Native,1
17434,Hookeria lucens,Mossen en korstmossen,S,Native,11
17435,Hygrohypnum luridum,Mossen en korstmossen,S,Native,8
17436,Loeskeobryum brevirostre,Mossen en korstmossen,S,Native,27
17437,Hylocomium splendens,Mossen en korstmossen,S,Native,131
17438,Hypnum andoi,Mossen en korstmossen,S,Native,66
17439,Hypnum cupressiforme,Mossen en korstmossen,S,Native,1058
17440,Hypnum imponens,Mossen en korstmossen,S,Native,1
17441,Hypnum jutlandicum,Mossen en korstmossen,S,Native,279
17443,Hypnum pallescens,Mossen en korstmossen,S,Native,1
17444,Isothecium alopecuroides,Mossen en korstmossen,S,Native,114
17445,Isothecium myosuroides,Mossen en korstmossen,S,Native,161
17446,Plasteurhynchium striatulum,Mossen en korstmossen,S,Native,10
17447,Leptobarbula berica,Mossen en korstmossen,S,Native,1
17448,Leptobryum pyriforme,Mossen en korstmossen,S,Native,43
17449,Leptodictyum riparium,Mossen en korstmossen,S,Native,246
17453,Leskea polycarpa,Mossen en korstmossen,S,Native,188
17454,Leucobryum glaucum,Mossen en korstmossen,S,Native,327
17455,Leucodon sciuroides,Mossen en korstmossen,S,Native,35
