Taxon	Synonym	Family	M/I	FR	MRR	Origin	Presence_Fl	Presence_Br	Presence_Wa	D/N	V/I
Nassella tenuissima (Trin.) Barkworth	Stipa tenuissima Trin.	Poaceae	D/A	1894	2015	AM	X	X	X	Cas.	Hort., wool 
Notodanthonia gracilis (Hook. f.) Zotov	Danthonia gracilis Hook. f.	Poaceae	A	1911?	1912?	AUS			X	Cas.	Wool
Oplismenus hirtellus (L.) Beauv.		Poaceae	A	1901	1901	Trop.	X			Cas.	?
Oxychloris scariosa (F. Muell.) Lazarides	Chloris scariosa F. Muell.	Poaceae	A	1921	1921	AUS			X	Cas.	Wool
Panicum antidotale Retz.		Poaceae	A	1895	1950	AS 			X	Cas.	Wool
Panicum capillare L. subsp. barbipulvinatum (Nash) Tzvelev	Panicum riparium H. Scholz	Poaceae	A	1922	2015	NAM	X	X	X	Cas.	Grain,…
Panicum capillare L. subsp. capillare		Poaceae	A	1861	N	NAM	X	X	X	Nat.	Grain, wool,…
Panicum capillare subsp. hillmanii (Chase) Freckmann et Lelong	Panicum hillmanii Chase	Poaceae	A	1888	2013	NAM	X		X	Cas.	Grain, wool,…
Panicum chloroticum Nees ex Trin.		Poaceae	A	1904	2013	SAM	X		X	Cas.	Grain, wool
Panicum coloratum L.		Poaceae	A	1901	1986	AF AS-Te	X		X	Cas.	Wool
Panicum decompositum R. Brown		Poaceae	A	1905	1905	AUS			X	Cas.	Wool
Panicum dichotomiflorum Michaux		Poaceae	A	1881	N	AM	X		X	Nat.	Grain, seeds, wool
Panicum hirticaule J. Presl		Poaceae	A	1969	1969	AM	X			Cas.	Grain?
Panicum laevinode Lindl.		Poaceae	A	1904	1947	AUS			X	Cas.	Wool
Panicum miliaceum L. subsp. agricola H. Scholz et Mikoláš		Poaceae	A	2002	N	E	X			Nat.	Seeds,…
Panicum miliaceum L. subsp. miliaceum		Poaceae	D	1868	Ann.	AS	X	X	X	Cas.	Agric.
Panicum miliaceum L. subsp. ruderale (Kitagawa) Tzvelev		Poaceae	A	1996	2014	AS	X			Cas.	Grain,…
Panicum schinzii Hack.		Poaceae	A	1887	N	AF  	X	X	X	Nat.	Wool, seeds,…
Panicum virgatum L.		Poaceae	D/A	1948	2011	AM	X		X	Cas.	Hort., wool 
Parapholis incurva (L.) C.E. Hubbard		Poaceae	A	1895	N?	E AF AS-Te	X		X	Nat.?	Wool, ore, salt
Paspalum dilatatum Poiret		Poaceae	A	2000	2000	SAM	X			Cas.	Traffic?
Paspalum distichum L.		Poaceae	A	1950	1954	Trop.	X			Cas.	Birdseed?
Paspalum notatum Flueggé var. saurae (Parodi) Parodi	Paspalum saurae Parodi	Poaceae	A?	2014	2014	AM	X			Cas.	?
Paspalum paniculatum L.		Poaceae	A	1999	1999	AM	X			Cas.	Grain
Pennisetum alopecuroides (L.) Spreng.		Poaceae	D	2011	2012	AS-Te	X			Cas.	Hort.
Pennisetum flaccidum Griseb.		Poaceae	D	2000	N	AS	X	 		Nat.	Hort.
Pennisetum petiolare (Hochst.) Chiov.		Poaceae	A	2000	2000	AF	X			Cas.	Grain
Pentaschistis airoides (Nees) Stapf		Poaceae	A	1911	1912	AF			X	Cas.	Wool
Phalaris angusta Nees ex Trin.		Poaceae	A	1889	2009	AM	X		X	Cas.	Wool, grain
Phalaris aquatica L.		Poaceae	A	1998	2015	E AF AS-Te	X		 	Cas.	Seeds?
Phalaris arundinacea L. var. picta L.		Poaceae	D	1861	2013	Cult.	X		X	Cas.	Hort.
Phalaris brachystachys Link		Poaceae	A	1906	2000	E AF AS-Te	X			Cas.	Grain,…
Phalaris canariensis L.		Poaceae	D	1847	Ann.	E AF AS-Te	X	X	X	Cas.	Birdseed
Phalaris coerulescens Desf.		Poaceae	A	<1950	<1950	E AF AS-Te		X		Cas.	?
Phalaris minor Retz.		Poaceae	A	<1850	2015	E AF AS-Te	X	X	X	Cas.	Grain, wool
Phalaris paradoxa L. var. paradoxa		Poaceae	A	<1850	2015	E AF AS-Te	X		X	Cas.	Grain, wool
Phalaris paradoxa L. var. praemorsa (Lam.) Coss. et Durieu		Poaceae	A	1893	1994	E AF AS-Te	X		X	Cas.	Grain, wool
Phalaris platensis Henrard ex Heukels		Poaceae	A	1895	1921	SAM			X	Cas.	Wool
Phleum echinatum Host		Poaceae	A	1923	1949	E AF AS-Te	X		X	Cas.	Wool,…
Phleum exaratum Griseb.		Poaceae	A	1912	2015	E AS-Te	X		X	Cas.	Grain,…
Phleum hirsutum Honck.		Poaceae	A	<1835	<1835	E			X	Cas.	?
Phleum paniculatum Huds.		Poaceae	A	1905	2015	E AF AS-Te	X		X	Cas.	Grain,…
Phleum subulatum (Savi) Aschers. et Graebn.		Poaceae	A	1895	1953	E AF AS-Te	X		X	Cas.	Grain,…
Pholiurus pannonicus (Host) Trin.		Poaceae	A	1950	1950	E AS-Te	X			Cas.	Grain?
Phyllostachys spec.		Poaceae	D	2006	Ann.	AS-Te	X			Cas.	Hort.
Piptatherum miliaceum (L.) Coss. subsp. miliaceum	Oryzopsis miliacea (L.) Benth. et Hook. ex Aschers. et Schweinf. subsp. miliacea	Poaceae	A	2004	2015	E AF AS-Te	X	X		Cas.	Birdseed?
Piptatherum miliaceum (L.) Coss. subsp. thomasii (Duby) Freitag	Oryzopsis miliacea (L.) Benth. et Hook. ex Aschers. et Schweinf. subsp. thomasii (Duby) K. Richt.	Poaceae	A	1947	1993	E AF AS-Te	X		X	Cas.	Wool, birdseed
Pleioblastus pumilus (Mitford) Nakai		Poaceae	D	2011	2011	AS-Te	X			Cas.	Hort.
Poa alpina L.		Poaceae	A	<1850	<1850	E AF AS-Te NAM	X			Cas.	?
Poa sieberiana Spreng.		Poaceae	A	1947	1947	AUS			X	Cas.	Wool
Polypogon chilensis (Kunth) Pilger	Chaetotropis chilensis Kunth	Poaceae	A	1906	1921	SAM			X	Cas.	Wool
Polypogon elongatus Humb., Bonpl. et Kunth	Chaetotropis elongata (Humb., Bonpl. et Kunth) Björkman	Poaceae	A	1883	1921	AM			X	Cas.	Wool
Polypogon fugax Nees ex Steud.		Poaceae	A	1906	1912	E AF AS-Te			X	Cas.	Wool, grain
Polypogon maritimus Willd.		Poaceae	A	1911	2015	E AF AS-Te	X		X	Cas.	Grain, wool,…
Polypogon monspeliensis (L.) Desf.		Poaceae	A	<1836	N	E AF AS-Te	X	X	X	Nat.	Grain, wool,…
Polypogon rioplatensis Herter	Chaetotropis rioplatensis (Herter) Björkman	Poaceae	A	1895	1895	SAM			X	Cas.	Wool
Polypogon viridis (Gouan) Breistr.		Poaceae	A	1894	N	E AF AS-Te	X		X	Nat.	Urban weed,…
Pseudosasa japonica (Siebold et Zucc. ex Steud.) Makino		Poaceae	D	1955	N?	AS-Te	X		X	Nat.?	Hort.
Puccinellia stricta (Hook. f.) C. Blom		Poaceae	A	1901	1911	AUS			X	Cas.	Wool
Rostraria cristata (L.) Tzvelev		Poaceae	A	1891	2015	E AF AS-Te	X	X	X	Cas.	Grain, wool
Rytidosperma thomsonii (Buchanan) Connor et Edgar	 	Poaceae	A	1911	1911	AUS			X	Cas.	Wool
Sasa palmata (Burbidge) E.G. Camus		Poaceae	D	1955	2013	AS-Te	X		X	Cas.	Hort.
Sasaella ramosa (Makino) Makino		Poaceae	D	2005	N	AS-Te	X			Nat.	Hort.
Schismus barbatus (L.) Thell.		Poaceae	A	<1836	2010	E AF AS-Te	X		X	Cas.	Nurseries, ...
Schmidtia kalahariensis Stent		Poaceae	A	1961	1961	AF			X	Cas.	Wool
Secale cereale L.		Poaceae	D	1884	Ann.	AS-Te	X		X	Cas.	Agric.
Secale strictum (C. Presl) C. Presl	Secale montanum Guss.	Poaceae	A	1908	1908	E AF AS			X	Cas.	?
Secale xderzhavinii Tzvelev	S. cereale x strictum	Poaceae	A	2011	2013	Cult.	X			Cas.	Grain
Semiarundinaria fastuosa (Mitford) Makino 		Poaceae	D	2015	2015	AS-Te	X			Cas.	Hort.
Setaria adhaerens (Forssk.) Chiov.		Poaceae	A	1929	1998	Trop.	X		X	Cas.	Grain, wool
Setaria dielsii R.A.W. Herrmann		Poaceae	A	1947	1947	AUS			X	Cas.	Wool
Setaria faberi R.A.W. Herrmann s.l.	Setaria macrocarpa Lucznik	Poaceae	A	1977	N	AS-Te	X			Nat.	Grain
Setaria italica (L.) Beauv.		Poaceae	D	1856	Ann.	?	X	X	X	Cas.	Birdseed
Setaria parviflora (Poiret) Kerguélen		Poaceae	A	1887	N	AM	X		X	Nat.	Grain, wool,…
Setaria pumila (Poiret) Roem. et Schult.		Poaceae	A	1811	N	E AF AS	X	X	X	Nat.	Grain, wool,…
Setaria sphacelata (Schumach.) Stapf et C.E. Hubbard ex M.B. Moss		Poaceae	A	2002	2002	AF AS-Te	X			Cas.	Grain
Setaria verticillata (L.) Beauv. var. ambigua (Guss.) Parl.		Poaceae	A	1990	N	E AF AS	X	 	X	Nat.	Grain, wool,…
Setaria verticillata (L.) Beauv. var. verticillata		Poaceae	A	<1800	N	E AF AS	X	X	X	Nat.	Grain, wool,…
Setaria viridis (L.) Beauv. s.l.		Poaceae	A	<1800	N	E AF AS	X	X	X	Nat.	Grain, wool,…
Sorghum bicolor (L.) Moench		Poaceae	D	1935	Ann.	?	X	X	X	Cas.	Birdseed
Sorghum halepense (L.) Pers.		Poaceae	A	1884	N	E AF AS-Te	X	X	X	Nat.	Grain, wool
Spartina pectinata Link		Poaceae	D	1996	2010	NAM	X			Cas.	Hort.
Spartina x townsendii H. et J. Groves (S. alterniflora Loisel. x maritima (Curt.) Fernald)		Poaceae	A	1938	N	Hybr.	X			Inv.	Hybridization
Sporobolus africanus (Poiret) Robyns et Tournay		Poaceae	A	1911	2005	AF AS		X	X	Cas.	Wool, grain
Sporobolus caroli Mez		Poaceae	A	1911	1947	AUS			X	Cas.	Wool
Sporobolus creber De Nardi		Poaceae	A	1911	1911	AUS			X	Cas.	Wool
Sporobolus elongatus R. Brown		Poaceae	A	1951	1951	AUS			X	Cas.	Wool
Sporobolus indicus (L.) R. Brown		Poaceae	A	1886	2014	AM	X		X	Cas.	Grain, wool
Sporobolus virginicus (L.) Kunth		Poaceae	A	<1900	<1900	AM	?	?	?	Cas.	?
Stipa bromoides (L.) Dörfl.		Poaceae	A	1948	1948	E			X	Cas.	Wool
Stipa pennata L. s.l.		Poaceae	D	1824	1892	E AF AS-Te	X		X	Cas.	Hort.
Stipagrostis pungens (Desf.) De Winter		Poaceae	A	1947	1947	AF	 		X	Cas.	Wool
Taeniatherum caput-medusae (L.) Nevski var. caput-medusae		Poaceae	A	1911	2011	E AF AS-Te	X		X	Cas.	Wool, grain
Thinopyrum elongatum (Host) D.R. Dewey in Gustafson	Elymus elongatus (Host) Runemark subsp. elongatus	Poaceae	A	1823	1959?	E			X	Cas.	Wool,…
Thinopyrum ponticum (Podp.) M.Barkworth et D.R. Dewey	Elymus elongatus (Host) Runemark subsp. ponticus (Podp.) Melderis	Poaceae	A	<1900?	<1900?	E AF AS-Te			X	Cas.	Wool
Tragus australianus S.T. Blake		Poaceae	A	1899	1963	AUS	X		X	Cas.	Wool
Tragus berteronianus Schult.		Poaceae	A	1947	1948	AF AS-Tr			X	Cas.	Wool
Tragus koelerioides Aschers.		Poaceae	A	1887	1947	AF			X	Cas.	Wool
Tragus racemosus (L.) All.		Poaceae	A	<1850	N	E AF AS 	X		X	Nat.	Wool,…
Triraphis mollis R. Brown		Poaceae	A	1899	1947	AUS	X		X	Cas.	Wool
Trisetaria michelii (Savi) D. Heller	Avellinia michelii (Savi) Parl.	Poaceae	A	1986	1986	E AF AS-Te	X			Cas.	Urban weed
Trisetaria panicea (Lam.) Maire	Trisetum paniceum (Lam.) Pers.	Poaceae	A	1947	2012	E AF AS-Te	X		X	Cas.	Grain, wool, …
Triticum aestivum L.		Poaceae	D	1883	Ann.	?	X		X	Cas.	Agric.
Triticum compactum Host		Poaceae	D	1901	1954	?	X		X	Cas.	Agric.
Triticum dicoccon (Schrank) Schübl.		Poaceae	D	?	?	?	?	?	?	Cas.	Agric.
Triticum durum Desf.		Poaceae	D	1954	1972	?	X		X	Cas.	Agric.
Triticum monococcum L.		Poaceae	D	1885	1948	?	?	?	X	Cas.	Agric.
Triticum polonicum L.		Poaceae	D	1895	1926	?			X	Cas.	Agric.
Triticum spelta L.		Poaceae	D	1913	1954	?	?	?	X	Cas.	Agric.
Triticum turgidum L.		Poaceae	D	1877	1972	?	X		X	Cas.	Agric.
Urochloa mutica (Forssk.) T.Q. Nguyen		Poaceae	A	1950	1950	AF	X			Cas.	Grain?
Urochloa panicoides Beauv.		Poaceae	A	1949	2009	AF AS	X	X		Cas.	Grain
Urochloa plantaginea (Link) R. Webster		Poaceae	A	2006	2006	AF	X			Cas.	Grain
Urochloa platyphylla (Munro ex Wright) R. Webster		Poaceae	A	1992	2005	AM	X			Cas.	Grain
Vulpia alopecuros (Schousb.) Dum.		Poaceae	A	1948	1977	E AF		X	X	Cas.	Grain?
Vulpia antucensis Trin.	Vulpia eriolepis (Desv.) C. Blom	Poaceae	A	1910	1910	SAM			X	Cas.	Wool
Vulpia ciliata Dum. subsp. ciliata		Poaceae	A	1948	N	E AF AS-Te	X		X	Nat.	Wool, ore
Vulpia geniculata (L.) Link		Poaceae	A	1886	2005	E AF 	X		X	Cas.	Grain?
Vulpia ligustica (All.) Link		Poaceae	A	1871	1923	E AF AS-Te	X	X		Cas.	?
Vulpia myuros (L.) C.C. Gmel. var. megalura (Nutt.) Auquier		Poaceae	A	1877	1979	E	X	 	X	Cas.	Wool,…
Vulpia octoflora (Walter) Rydberg		Poaceae	A	1889	1889	AM			X	Cas.	?
Zea mays L.		Poaceae	D	1923	Ann.	SAM	X	X	X	Cas.	Agric.
Zingeria pisidica (Boiss.) Tutin		Poaceae	A	2011	2014	E AS-Te	X			Cas.	Grain
Zizania latifolia (Griseb.) Stapf		Poaceae	D	2010	2010	AS-Te	X			Cas.	Hort.
Zuloagaea bulbosa (Kunth) Bess	Panicum bulbosum Kunth	Poaceae	A	1949	1949	NAM			X	Cas.	Wool
x Agropogon lutosus (Poir.) P. Fourn. (Agrostis stolonifera x Polypogon monspeliensis)		Poaceae	A	2015	2015	Hybr.	X			Cas.	Hybridization
x Festulolium braunii (K. Richt.) A. Camus (Festuca pratensis Huds. x Lolium perenne L.)		Poaceae	H	1942	1982	Hybr.	X		X	Cas.	Hybridization
Gilia achilleifolia Benth.		Polemoniaceae	D	1954	2013	NAM	X			Cas.	Hort.
Gilia capitata Sims cf. subsp. mediomontana V. Grant		Polemoniaceae	A	1893	1898	NAM	X		X	Cas.	Wool, grain,…
Gilia capitata Sims subsp. capitata		Polemoniaceae	A	1921	1921	NAM			X	Cas.	Wool
Gilia tricolor Benth.		Polemoniaceae	D	1950	2014	NAM	X		X	Cas.	Hort.
Navarretia squarrosa (Eschsch.) Hook. et Arnott		Polemoniaceae	A	1877	2012	NAM	X		X	Cas.	Grain, seeds,…
Phlox maculata L.		Polemoniaceae	D	1943	1943	NAM			X	Cas.	Hort.
Phlox paniculata L.		Polemoniaceae	D	2012	2013	NAM	X			Cas.	Hort.
Phlox subulata L.		Polemoniaceae	D	2009	2009	NAM	X			Cas.	Hort.
Polemonium caeruleum L.		Polemoniaceae	D/A	1864	N	E AS-Te	X	X	X	Nat.	Hort.,…
Aconogonum campanulatum (Hook. f.) H. Hara	Polygonum campanulatum Hook. f.	Polygonaceae	D	2013	N?	AS-Te	X			Nat.?	Hort.
Aconogonum divaricatum (L.) Nakai	Polygonum divaricatum L.	Polygonaceae	D	2008	2009	AS-Te			X	Cas.	Hort.
Aconogonum x fennicum Reiersen (A. alpinum (All.) Schur x weyrichii (F. Schmidt) H. Hara)		Polygonaceae	D	2014	2014	Cult.	X			Cas.	Hort.
Bistorta affinis (D. Don) E. Greene	Persicaria affinis (D. Don) Ronse Decraene	Polygonaceae	D	2012	2012	AS-Te	X			Cas.	Hort.
Bistorta amplexicaulis (D. Don) Greene	Persicaria amplexicaulis (D. Don) Ronse Decraene	Polygonaceae	D	1966	2013	AS-Te	X	X		Cas.	Hort.
Emex australis Steinh.		Polygonaceae	A	1900	1992	AF	X		X	Cas.	Wool, grain  
Emex spinosa (L.) Campd.		Polygonaceae	A	1886	1994	E AF AS-Te	X			Cas.	Grain,…
Fagopyrum esculentum Moench		Polygonaceae	D	1855	Ann.	AS-Te	X	X	X	Cas.	Birdseed
Fagopyrum tataricum (L.) Gaertn.		Polygonaceae	A?	1856	2011	AS-Te	X	X	X	Cas.	Birdseed,…
Fallopia baldschuanica (Regel) Holub	Incl. F. aubertii (L. Henry) Holub	Polygonaceae	D	1942	N	AS-Te	X	X	X	Nat.	Hort.
Persicaria capitata (Buch.-Hamilt. ex D. Don) H. Gross		Polygonaceae	D	2001	2013	AS-Te	X			Cas.	Hort.
Persicaria nepalensis (Meissn.) H. Gross 		Polygonaceae	A	2010	N	AS	X			Cas.	Seeds?
Persicaria orientalis (L.) Spach		Polygonaceae	D	1873	2010	AS 	X	X	X	Cas.	Hort.
Persicaria pensylvanica (L.) Gómez de la Maza		Polygonaceae	A	1902	2000	NAM	X		X	Cas.	Grain, wool
Polygonum achoreum S.F. Blake		Polygonaceae	A	1918	1999	NAM	X			Cas.	Grain,…
Polygonum arenarium Waldst. et Kit. subsp. pulchellum (Loisel.) D.A. Webb et Chater		Polygonaceae	A	1943	N?	E AF AS-Te	X	X		Nat.?	Grain, salt
Polygonum argyrocoleon Steud. ex Kunze		Polygonaceae	A	1995	1995	AS-Te	X			Cas.	Grain
Polygonum aviculare subsp. rurivagum (Jord. ex Boreau) Berher		Polygonaceae	A	?	2010	E	X			Cas.	Grain,…
Polygonum bellardii All.		Polygonaceae	A	1882	2011	E AF AS-Te	X	X	X	Cas.	Grain, wool,…
Polygonum patulum Bieb.		Polygonaceae	A	1915	1915	E AF AS-Te	 		X	Cas.	Wool
Polygonum plebejum R. Brown		Polygonaceae	A	1895	1912	AF AS AUS			X	Cas.	Wool
Reynoutria compacta (Hook. f.) Nakai	Fallopia japonica (Houtt.) Ronse Decraene var. compacta (Hook. f.) J.P. Bailey	Polygonaceae	D	1981	N?	AS-Te	X			Nat.?	Hort.
Reynoutria japonica Houtt.	Fallopia japonica (Houtt.) Ronse Decraene var. japonica	Polygonaceae	D	1882	N	AS-Te	X	X	X	Inv.	Hort.
Reynoutria sachalinensis (F. Schmidt Petrop.) Nakai	Fallopia sachalinensis (F. Schmidt Petrop.) Ronse Decraene	Polygonaceae	D	1924	N	AS-Te	X	X	X	Inv.	Hort.
Reynoutria x bohemica Chrtek et Chrtková	Fallopia x bohemica (Chrtek et Chrtková) J.P. Bailey (Reynoutria japonica x sachalinensis)	Polygonaceae	D	1954	N	Hybr.	X	X	X	Inv.	Hort.
Rheum x rhabarbarum L. (R. palmatum L. x rhaponticum L.)		Polygonaceae	D	2007	Ann.	Cult.	X			Cas.	Hort.
Rubrivena polystachya (Wall. ex Meisn.) M. Král	Persicaria wallichii Greuter et Burdet	Polygonaceae	D	1898	N	AS-Te	X	X	X	Inv.	Hort.
Rumex alpinus L.		Polygonaceae	D	1997	1997	E AS-Te			X	Cas.	Hort.
Rumex altissimus Wood		Polygonaceae	A	1903	1909	NAM			X	Cas.	Wool
Rumex brownii Campd.		Polygonaceae	A	1895	1964	AUS	X		X	Cas.	Wool 
Rumex bucephalophorus L.		Polygonaceae	A	1928	1928	E AF AS-Te			X	Cas.	Grain?
Rumex confertus Willd.		Polygonaceae	D	1918	1918	AS-Te	X			Cas.	Hort. 
Rumex crispus L. subsp. robustus (Rech.) Pestova 		Polygonaceae	A	2012	2015	E AS-Te	X		X	Cas.	?
Rumex cristatus DC.		Polygonaceae	A	2011	2012	E AS-Te	X		X	Cas.	Grain, ...
Rumex dentatus L.		Polygonaceae	A	1891	1954	E AF AS-Te	 		X	Cas.	Wool, grain
Rumex fueginus  Phil.	Rumex maritimus subsp. fueginus  (Phil.) Hultén	Polygonaceae	A	1893	N	AM	X		X	Nat.	Waterfowl?, wool
Rumex kerneri  Borbás		Polygonaceae	A	2011	N?	E	X			Nat.?	?
Rumex longifolius DC.		Polygonaceae	D?	1857	2013	E AS-Te	X		X	Cas.	Hort.?
Rumex obovatus Danser		Polygonaceae	A	1940	1949	SAM	X		X	Cas.	Wool, grain
Rumex obtusifolius L. subsp. sylvestris (Wallr.) Čelak.		Polygonaceae	A	1953	2013	E	X		X	Cas.	?
Rumex patientia L.		Polygonaceae	D	1866	N	E AS-Te	X	X	X	Nat.	Agric.
Rumex pseudonatronatus (Borbás) Murb.		Polygonaceae	A	2010	2011	E AS-Te	X			Cas.	Grain
Rumex pulcher L. subsp. pulcher		Polygonaceae	A	1903	2002	E AF AS-Te	X		X	Cas.	Wool,…
Rumex pulcher L. subsp. woodsii (De Not.) Arcang.		Polygonaceae	A	1999	2015	E AF AS-Te	X			Cas.	Grain
Rumex rugosus Campd.		Polygonaceae	D	1954	2014	?	X		X	Cas.	Agric.
Rumex salicifolius Weinm.		Polygonaceae	A	1913	2011	NAM	X	X	X	Cas.	Wool,…
Rumex stenophyllus Ledeb.		Polygonaceae	A	1904	2014	E AS-Te	X		X	Cas.	Grain, wool,…
Rumex thyrsiflorus Fingerh.		Polygonaceae	A	1961	N	E	X		X	Nat.	?
Rumex x confusus Simonk. (R. crispus L. x patientia)		Polygonaceae	A	2011	2013	Hybr.	X			Cas.	Hybridization
Rumex x erubescens Simonk. (R. obtusifolius L. x patientia)		Polygonaceae	A	2004	2012	Hybr.	X			Cas.	Hybridization
Rumex x hybridus Kindb. (R. longifolius x obtusifolius)		Polygonaceae	A	2013	2013	Hybr.	X			Cas.	Hybridization
x Reyllopia conollyana (J.P. Bailey) Galasso	Fallopia x conollyana J.P. Bailey (F. baldschuanica x Reynoutria japonica)	Polygonaceae	D	2008	2008	Hybr.	X			Cas.	Hybridization
Polypodium hesperium Maxon		Polypodiaceae	D?	1980	1980	NAM	X			Cas.?	Hort.?
Eichhornia crassipes (C.F.P. Mart.) Solms-Laub.		Pontederiaceae	D	2001	2013	SAM	X			Cas.	Hort.
Pontederia cordata L.		Pontederiaceae	D	1985	N?	AM	X	X	X	Nat.?	Hort.
Portulaca cypria Danin 		Portulacaceae	A	1902	2013	E AF AS-Te	X		X	Cas.	?
Portulaca grandiflora Hook.		Portulacaceae	D	1929	2009	SAM	X		X	Cas.	Hort.
Portulaca granulatostellulata (Poelln.) C. Ricceri & P.V. Arrigoni 		Portulacaceae	A	1865	2013	Trop.	X		X	Cas.	Wool, ore,…
Portulaca nitida (Danin & H.G. Baker) C. Ricceri & P.V. Arrigoni 		Portulacaceae	A	1989	2013	NAM	X		X	Cas.	Nurseries
Portulaca oleracea L. 		Portulacaceae	A	1866	2008	Trop.	X	X	X	Nat.	Grain, wool,…
Portulaca papillatostellulata (Danin & H.G. Baker) Danin 		Portulacaceae	A	1948	2013	AM	X		X	Cas.	?
Portulaca sativa Haw.		Portulacaceae	D	1887	1997	?	X		X	Cas.	Agric.
Portulaca trituberculata Danin, Domina & Raimondo 		Portulacaceae	A	1865	2011	?	X		X	Cas.	?
Androsace maxima L.		Primulaceae	A	1954	1954	E AF AS-Te			X	Cas.	Grain
Cyclamen coum Mill.		Primulaceae	D	2011	2015	E AS-Te	X		X	Cas.	Hort.
Cyclamen hederifolium Ait.		Primulaceae	D	2003	2015	E AF AS-Te	X	X	X	Cas.	Hort.
Lysimachia ciliata L.		Primulaceae	D	1811	2012	NAM	X		X	Cas.	Hort.
Lysimachia linum-stellatum L.	Asterolinon linum-stellatum (L.) Duby	Primulaceae	A	<1858	<1858	E			X	Cas.	?
Lysimachia monelli (L.) U. Manns et Anderb.	Anagallis monelli L.	Primulaceae	D	2004	2004	E AF	X			Cas.	Hort.
Lysimachia punctata L.		Primulaceae	D	1847	N	E AS-Te	X	X	X	Nat.	Hort.
Primula florindae Kingdon-Ward		Primulaceae	D	2010	2010	AS-Te	X			Cas.	Hort.
Adiantum capillus-veneris L.		Pteridaceae	D	2001	N	Trop.	X			Cas.	Hort.
Adiantum raddianum C. Presl		Pteridaceae	D	2003	2013	SAM	X	X		Cas.	Hort.
Anogramma chaerophylla (Desv.) Link		Pteridaceae	A?	2005	2005	SAM	X			Cas.	Ore?
Cheilanthes viridis (Forssk.) Prantl var. macrophylla (Kunze) Sim		Pteridaceae	A?	2005	2005	AF	X			Cas.	Ore?
Pteris cretica L.		Pteridaceae	D	2003	2014	Trop.	X			Cas.	Hort.
Pteris multifida Poiret		Pteridaceae	D	2001	2014	AS-Te	X			Cas.	Hort.
Aconitum napellus  L. subsp. napellus var. giganteum (Dum. ex Thielens) J. Duvigneaud		Ranunculaceae	D	<1835	N	E	X	X	X	Nat.	Hort.
Aconitum x stoerkianum Reichenb. (A. napellus x variegatum L.)		Ranunculaceae	D	<1835	1977	Cult.	X		X	Cas.	Hort.
Adonis annua L. 	Incl. subsp. cupaniana (Guss.) C. Steinberg	Ranunculaceae	A/D	1846	1998	E AF AS-Te	X		X	Ext./Cas.	Seeds, hort.
Adonis flammea Jacq.		Ranunculaceae	A/D	1864	2010	E	X		X	Ext./Cas.	Seeds, hort.
Anemone apennina L.		Ranunculaceae	D	1807	N	E		X	X	Nat.	Hort.
Anemone blanda Schott et Kotschy		Ranunculaceae	D	1984	N?	E AS-Te	X	X	X	Nat.?	Hort.
Anemone coronaria L.		Ranunculaceae	D	2000	2000	E AF AS-Te	X			Cas.	Hort.
Anemone x hybrida Paxt. (A. hupehensis (Lemoine) Lemoine x vitifolia Buch.-Hamilt. ex DC.)		Ranunculaceae	D	2004	2015	Cult.	X			Cas.	Hort.
Clematis flammula L.		Ranunculaceae	D	1869	1958	E AF AS-Te	X		X	Cas.	Hort.
Clematis integrifolia L.		Ranunculaceae	D	1882	1966	E AS 			X	Cas.	Hort.
Clematis montana Buch.-Ham ex DC.		Ranunculaceae	D	2014	2014	AS-Te	X			Cas.	Hort.
Clematis recta L.		Ranunculaceae	D	1834	N?	E AS-Te			X	Nat.?	Hort.
Clematis tangutica (Maxim.) Korsh.		Ranunculaceae	D	2000	N?	AS	X			Nat.?	Hort.
Clematis viticella L.		Ranunculaceae	D	1864	N	E AS-Te	X		X	Nat.	Hort.
Clematis x jackmanii group		Ranunculaceae	D	2009	2009	Cult.	X			Cas. 	Hort.
Delphinium ajacis L.	Consolida ajacis (L.) Schur	Ranunculaceae	D/A	1854	Ann.	E AF AS-Te	X	X	X	Cas.	Hort., grain,…
Delphinium elatum-Group		Ranunculaceae	D	1949	1949	Cult.			X	Cas.	Hort.
Delphinium orientale J. Gay	Consolida hispanica (Costa) Greuter et Burdet	Ranunculaceae	A	1893	2014	E AF AS-Te	X	X	X	Cas.	Grain, wool,…
Eranthis hyemalis (L.) Salisb.		Ranunculaceae	D	1813	N	E	X	X	X	Nat.	Hort.
Helleborus niger L.		Ranunculaceae	D	1792	1888	E	X			Ext.	Hort.
Helleborus orientalis Lam.		Ranunculaceae	D	1947	N	E AS-Te	X		X	Nat.	Hort.
Hepatica nobilis Schreb.		Ranunculaceae	D	1825	N	E AS-Te			X	Nat.	Hort.
Nigella damascena L.		Ranunculaceae	D	1860	2014	E AF AS-Te	X	X	X	Cas.	Hort.
Nigella sativa L.		Ranunculaceae	A	<1865	1999	AF AS-Te	X		X	Cas.	Grain,…
Ranunculus gramineus L.		Ranunculaceae	D	<1850	<1850	E			X	Cas.	Hort.
Ranunculus lanuginosus L.		Ranunculaceae	D?	<1800	1938	E			X	Cas.	Hort.?
Ranunculus marginatus D' Urv.		Ranunculaceae	A	1999	2014	E AF AS-Te	X			Cas.	Grain
Ranunculus muricatus L.		Ranunculaceae	A	1886	2008	E AF AS-Te	X			Cas.	Grain
