AphiaID	Kingdom	Phylum	Class	Order	Family	Genus	Taxon	PlaceName	Distribution_id	Note	Beginyear	Occurrence	Origin	Invasiveness	Reference_id	Reference
458994.0	Animalia	Nematoda	Chromadorea	Rhabditida	Anguillicolidae	Anguillicoloides	Anguillicoloides crassus	Belgian part of the North Sea	856864.0		1985.0	Established	Alien	Not specified	194883.0	Belpaire, C.; De Charleroy, D.; Thomas, K.; Van Damme, P.; Ollevier, F.P. (1989). Effects of eel restocking on the distribution of the swimbladder nematode Anguillicola crassus in Flanders, Belgium. <em>J. Appl. Ichthyol.</em> 5(3): 151-153.
144521.0	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Antithamnionella	Antithamnionella spirographidis	Belgian Exclusive Economic Zone	642456.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
163275.0	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Antithamnionella	Antithamnionella ternifolia	Belgian Exclusive Economic Zone	642460.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
163275.0	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Antithamnionella	Antithamnionella ternifolia	Belgian part of the North Sea	856865.0		1970.0	Established	Alien	Not specified	194857.0	Leloup, E. (1973). Recherches sur l'ostréiculture dans le bassin de chasse d'Ostende en 1970 et 1971. Bull. K. Belg. Inst. Nat. Wet. 49(10): 1-23 
103647.0	Animalia	Chordata	Ascidiacea	Aplousobranchia	Polyclinidae	Aplidium	Aplidium glabrum	Belgian Exclusive Economic Zone	639819.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
103647.0	Animalia	Chordata	Ascidiacea	Aplousobranchia	Polyclinidae	Aplidium	Aplidium glabrum	Belgian part of the North Sea	856866.0		2000.0	Established	Alien	Not specified	147598.0	De Blauwe, H.; Dumoulin, E. (2009). De zeefauna en -flora uit de jachthaven van Zeebrugge, in het bijzonder de fouling-organismen van drijvende pontons De Strandvlo 29(2): 41-63
106211.0	Animalia	Arthropoda		Sessilia	Balanidae	Balanus	Balanus amphitrite	Belgian Exclusive Economic Zone	642502.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
106218.0	Animalia	Arthropoda		Sessilia	Balanidae	Balanus	Balanus improvisus	Belgian Exclusive Economic Zone	642506.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
106223.0	Animalia	Arthropoda		Sessilia	Balanidae	Balanus	Balanus trigonus	Belgian part of the North Sea	826066.0	Location : Belgian waters<br/>Year first introduced or recorded : 1997-1998. [One empty specimen of B. trigonus was found on a buoy in Belgian waters in 1997-1998 (Kerckhof and Cattrijsse 2001).]		Reported	Alien	Uncertain	192639.0	U.S. National Museum of Natural History. (2002-2013). Invertebrate zoology collections database. 
106223.0	Animalia	Arthropoda		Sessilia	Balanidae	Balanus	Balanus trigonus	Belgian part of the North Sea	824386.0	Location : Belgian waters<br/>Year first introduced or recorded : 1997-1998. [One empty specimen of B. trigonus was found on a buoy in Belgian waters in 1997-1998 (Kerckhof and Cattrijsse 2001).]		Reported	Alien	Uncertain	192733.0	Zullo, V. A. (1992). Balanus trigonus Darwin (Cirripedia, Balanidae) in the Atlantic Basin: an introduced species ?. Bulletin of Marine Science. 50, 66-74.
111805.0	Animalia	Entoprocta		Coloniales	Barentsiidae	Barentsia	Barentsia ramosa	Belgian part of the North Sea	814297.0		1962.0	Reported	Alien	Uncertain	43003.0	Nielsen, C. (1989). Entoprocts: keys and notes for the identification of the species. <em>Synopses of the British fauna (New Series).</em> 41, 131p.
246871.0	Chromista	Cercozoa	Ascetosporea	Haplosporida	Haplosporiidae	Bonamia	Bonamia ostreae	Belgian Exclusive Economic Zone	639809.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
246871.0	Chromista	Cercozoa	Ascetosporea	Haplosporida	Haplosporiidae	Bonamia	Bonamia ostreae	Belgian part of the North Sea	856867.0		1980.0	Established	Alien	Not specified	71170.0	Kerckhof, F., Haelters, J.; Gollasch, S. (2007). Alien species in the marine and brackish ecosystem: the situation in Belgian waters. <em>Aquatic Invasions.</em> 2(3): 243-257.
148715.0	Animalia	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Botrylloides	Botrylloides violaceus	Belgian Exclusive Economic Zone	642538.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
148715.0	Animalia	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Botrylloides	Botrylloides violaceus	Belgian part of the North Sea	856868.0		2003.0	Established	Alien	Not specified	147598.0	De Blauwe, H.; Dumoulin, E. (2009). De zeefauna en -flora uit de jachthaven van Zeebrugge, in het bijzonder de fouling-organismen van drijvende pontons De Strandvlo 29(2): 41-63
111158.0	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula	Bugula neritina	Belgian part of the North Sea	814409.0		1999.0	Reported	Alien	Uncertain	177158.0	Molnar, J. L.; Gamboa, R. L.; Revenga, C.; Spalding, M. D. (2008). Assessing the global threat of invasive species to marine biodiversity. <em>Frontiers in Ecology and the Environment.</em> 6(9): 485-492.
111162.0	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula	Bugula simplex	Belgian Exclusive Economic Zone	642530.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
111162.0	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula	Bugula simplex	Belgian part of the North Sea	856869.0		2000.0	Established	Alien	Not specified	1165.0	Kerckhof, F. (2001). Het mosdiertje <i>Bugula simplex</i> Hincks, 1886 (Bryozoa, Cheilostomatida) nieuw voor de Belgische fauna [The bryozoan <i>Bugula simplex</i> Hincks, 1886 (Bryozoa, Cheilostomatida) new species for the Belgian fauna]. <em>De Strandvlo.</em> 21(1): 36-39.
