taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYaerFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
87	harmonia	Quercus rubra	Quercus borealis					Fagaceae					Red oak	Amerikaanse eik	Chêne rouge	spread		b3	10	widespread		agri- and horticulture, forestry		terrestrial	North America	yes	yes	yes					1950					no	published	
88	harmonia	Rana catesbeiana	Lithobates catesbeianus					Ranidae					American bullfrog	Stierkikker	Grenouille taureau	spread		a1	12	isolated		aquariums and ponds		freshwater	North America	yes	yes	yes					1996					yes	published	
90	harmonia	Rattus norvegicus						Muridae					Brown rat	Bruine rat	Rat surmulot	stabilization		a3	11	widespread		accidental		freshwater	Asia	yes	yes	yes					1730					no	published	
91	harmonia	Rhododendron ponticum						Ericaceae					Rhododendron	Pontische rododendron	Rhododendron	spread		a2	11	restricted		agri- and horticulture		terrestrial	Asia, Europe	yes	yes	yes					1920					no	published	
113	harmonia	Rhus typhina	Rhus hirta					Anacardiaceae					Staghorn sumac	Fluweelboom	Sumac	naturalization		b1	10	isolated		agri- and horticulture		terrestrial	North America	yes	yes	yes					1898					no	published	
15	harmonia	Robinia pseudoacacia						Fabaceae					Black locust	Gewone robinia	Robinier faux-acacia			b3	10	widespread		agri- and horticulture		terrestrial	North America	yes	yes	yes					1856					no	published	
92	harmonia	Rosa rugosa						Rosaceae					Rugosa rose	Rimpelroos	Rosier rugueux	spread		a3	12	widespread		agri- and horticulture		terrestrial	Asia	yes	yes						1934					no	published	
93	harmonia	Rudbeckia laciniata						Asteraceae					Cutleaf coneflower	Slipbladige rudbeckia	Rudbéckie laciniée	stabilization		b1	10	isolated		agri- and horticulture		terrestrial	North America	yes	yes	yes					1849					no	published	
94	harmonia	Salvelinus fontinalis						Salmonidae					Brook trout	Bronforel	Omble de fontaine, saumon de fontaine			b1	1	isolated				freshwater	North America	no	no	no					1884					no	pending	
6	harmonia	Sander lucioperca	Stizostedion lucioperca					Percidae					Zander, Pike-perch	Snoekbaars	Sandre	spread		b3	9	widespread		game/fish stocking		freshwater	Europe	yes	yes	yes					1890					no	published	
30	harmonia	Sciurus carolinensis						Sciuridae					Grey squirrel	Grijze eekhoorn	Ecureuil gris			a0	11			pets and domestic animals		terrestrial	North America	no												yes	published	
149	harmonia	Sciurus niger											Fox squirrel	Zwarte eekhoorn	Ecureuil fauve			c	5							no												yes	pending	
16	harmonia	Senecio inaequidens						Asteraceae					South african ragwort	Bezemkruiskruid	Sénecon sud-africain	spread		b3	10	widespread		accidental		terrestrial	Africa	yes	yes	yes					1892					no	published	
95	harmonia	Silurus glanis						Siluridae					Wels catfish	Meerval	Silure glane	spread		b2	1	restricted				freshwater	Europe	yes	yes	yes					1982					no	pending	
146	harmonia	Solidago canadensis	Solidago altissima					Asteraceae					Canada goldenrod	Canadese guldenroede	Solidage du canada	spread		a3	11	widespread		agri- and horticulture		terrestrial	North America	yes	yes	yes					1863					no	published	
